arm,rate,seed,dwell_s,demotions,demote_TP,demote_FP,target_tenure_s,leaderless_s,target_leader_at_end,seat_attempts,settle_s,repaired,safety_viol
A,10,1,300,0,0,0,222,0,3,0,60,0,0
D,10,1,300,2,1,1,6,0,5,0,60,0,0
P,10,1,300,4,1,3,4,0,6,3,60,0,0
A,20,1,300,0,0,0,220,0,3,5,60,0,0
D,20,1,300,3,1,2,6,2,6,0,60,0,0
P,20,1,300,1,1,0,4,0,6,2,60,0,0
A,10,2,300,0,0,0,218,0,3,5,60,0,0
D,10,2,300,6,1,5,4,4,6,0,60,0,0
P,10,2,300,1,1,0,6,0,2,2,60,0,0
A,20,2,300,0,0,0,224,0,3,7,60,0,0
D,20,2,300,1,1,0,6,0,7,0,60,0,0
P,20,2,300,1,1,0,6,0,6,1,60,0,0
A,10,3,300,0,0,0,220,0,3,5,60,0,0
D,10,3,300,3,1,2,4,0,4,0,60,0,0
P,10,3,300,2,1,1,4,0,7,7,60,0,0
A,20,3,300,0,0,0,222,0,3,19,60,0,0
D,20,3,300,1,1,0,6,0,6,0,60,0,0
P,20,3,300,3,1,2,6,0,6,5,60,0,0
A,10,4,300,0,0,0,222,0,3,7,60,0,0
D,10,4,300,2,1,1,4,0,4,0,60,0,0
P,10,4,300,2,1,1,6,0,4,4,60,0,0
A,20,4,300,0,0,0,220,0,3,8,60,0,0
D,20,4,300,5,1,4,4,0,7,0,60,0,0
P,20,4,300,3,1,2,6,0,7,4,60,0,0
A,10,5,300,0,0,0,222,0,3,6,60,0,0
D,10,5,300,4,1,3,6,0,6,0,60,0,0
