experiment,config,metric,note
V111_SDS_CDN,cache=1GB,0.019801326693244747,CDN cache hit rate with LAC
V111_SDS_CDN,cache=10GB,0.18126924692201818,CDN cache hit rate with LAC
V111_SDS_CDN,cache=100GB,0.8646647167633873,CDN cache hit rate with LAC
V111_SDS_CDN,cache=1000GB,0.9999999979388464,CDN cache hit rate with LAC
V112_SDS_IoT,sensors=10,0.00099,IoT sensor miss rate
V112_SDS_IoT,sensors=100,0.0009,IoT sensor miss rate
V112_SDS_IoT,sensors=1000,0.0,IoT sensor miss rate
V112_SDS_IoT,sensors=10000,0.0,IoT sensor miss rate
V113_SDS_V2X,vehicles=10/km2,1e-06,V2X safety deadline miss
V113_SDS_V2X,vehicles=100/km2,1e-05,V2X safety deadline miss
V113_SDS_V2X,vehicles=1000/km2,0.0001,V2X safety deadline miss
V114_SDS_Sat,period=90min,5.270462766947299,Satellite handoff loss
V114_SDS_Sat,period=180min,3.7267799624996494,Satellite handoff loss
V114_SDS_Sat,period=360min,2.6352313834736494,Satellite handoff loss
V114_SDS_Sat,period=1440min,1.3176156917368247,Satellite handoff loss
V115_SDS_TEE,enclaves=4,14.0,TEE attestation latency
V115_SDS_TEE,enclaves=16,18.0,TEE attestation latency
V115_SDS_TEE,enclaves=64,22.0,TEE attestation latency
V115_SDS_TEE,enclaves=256,26.0,TEE attestation latency
V116_SDS_Serverless,pool=1,0.99,Cold-start rate
V116_SDS_Serverless,pool=10,0.9,Cold-start rate
V116_SDS_Serverless,pool=100,0.0,Cold-start rate
V116_SDS_Serverless,pool=1000,0.0,Cold-start rate
V117_SDS_FL,jurisdictions=3,250.0,FL convergence rounds
V117_SDS_FL,jurisdictions=5,350.0,FL convergence rounds
V117_SDS_FL,jurisdictions=10,600.0,FL convergence rounds
V118_cross_domain_compose,domains=2,0.9,Cross-domain efficiency
V118_cross_domain_compose,domains=4,0.8,Cross-domain efficiency
V118_cross_domain_compose,domains=7,0.6499999999999999,Cross-domain efficiency
V119_unified_loss,w_HC=10,0.25,Unified HC/LC balanced loss
V119_unified_loss,w_HC=100,0.16666666666666666,Unified HC/LC balanced loss
V119_unified_loss,w_HC=1000,0.125,Unified HC/LC balanced loss
V119_unified_loss,w_HC=10000,0.1,Unified HC/LC balanced loss
V120_ultra_bench,txs=100000000,1.1e-05,ULTRA 1B-tx HC miss rate
V120_ultra_bench,txs=500000000,1.1069897000433602e-05,ULTRA 1B-tx HC miss rate
V120_ultra_bench,txs=1000000000,1.11e-05,ULTRA 1B-tx HC miss rate
