utilization,seed,wait_time_ms,tail_amplification
0.5,0,1.0486381404032221,2.0972762808064442
0.5,1,0.9424889169689417,1.8849778339378833
0.5,2,0.9174049774051376,1.8348099548102752
0.5,3,1.0104681662132322,2.0209363324264644
0.5,4,0.9028768673806837,1.8057537347613675
0.7,0,1.6527906108992065,3.305581221798413
0.7,1,1.674786820601323,3.349573641202646
0.7,2,1.4994456450443314,2.998891290088663
0.7,3,1.4844490157462278,2.9688980314924556
0.7,4,1.70774807564505,3.4154961512901
0.85,0,3.76523462992401,7.53046925984802
0.85,1,2.784030234049468,5.568060468098936
0.85,2,3.4963175717653487,6.9926351435306975
0.85,3,3.0894629788939745,6.178925957787949
0.85,4,3.1626943330695525,6.325388666139105
0.95,0,9.795404842995078,19.590809685990155
0.95,1,9.092786659545157,18.185573319090313
0.95,2,9.739512169512855,19.47902433902571
0.95,3,8.91240895715182,17.82481791430364
0.95,4,10.082494304283694,20.164988608567388
0.99,0,50.41247152141847,100.82494304283694
0.99,1,44.212251764399376,88.42450352879875
0.99,2,46.04923750018489,92.09847500036977
0.99,3,53.12864699128571,106.25729398257143
0.99,4,55.5167401458345,111.033480291669
