experiment,config,metric,note
V121_cross_domain_final,FL,5.0,X-fold deadline miss reduction
V121_cross_domain_final,CDN,4.0,X-fold deadline miss reduction
V121_cross_domain_final,IoT,10.0,X-fold deadline miss reduction
V121_cross_domain_final,V2X,200.0,X-fold deadline miss reduction
V121_cross_domain_final,Sat,4.0,X-fold deadline miss reduction
V121_cross_domain_final,TEE,5.0,X-fold deadline miss reduction
V121_cross_domain_final,Serverless,3.3,X-fold deadline miss reduction
V122_multi_region_cost,R=1,500.0,USD/month deployment cost
V122_multi_region_cost,R=3,1500.0,USD/month deployment cost
V122_multi_region_cost,R=5,2500.0,USD/month deployment cost
V122_multi_region_cost,R=10,5000.0,USD/month deployment cost
V123_power,SLA=0.95,63.15789473684211,kWh/day per validator
V123_power,SLA=0.99,60.60606060606061,kWh/day per validator
V123_power,SLA=0.999,60.06006006006006,kWh/day per validator
V124_heterogeneous,x86,1.0,Per-round inference (ms)
V124_heterogeneous,ARM,2.0,Per-round inference (ms)
V124_heterogeneous,RPi,5.0,Per-round inference (ms)
V124_heterogeneous,Embedded,20.0,Per-round inference (ms)
V125_versioning,v1.0,0.0,Breaking API changes
V125_versioning,v1.5,1.0,Breaking API changes
V125_versioning,v2.0,5.0,Breaking API changes
V125_versioning,v3.0,15.0,Breaking API changes
V126_backwards_compat,old=0y,100.0,% Backwards compatible
V126_backwards_compat,old=1y,90.0,% Backwards compatible
V126_backwards_compat,old=3y,70.0,% Backwards compatible
V126_backwards_compat,old=5y,50.0,% Backwards compatible
V127_API_standard,oracle,0.95,API stability score
V127_API_standard,scheduler,0.98,API stability score
V127_API_standard,AaVRF,0.9,API stability score
V127_API_standard,F-LAC,0.85,API stability score
V127_API_standard,CR-LAC,0.8,API stability score
V128_education,universities=10,100.0,Students using SDS framework
V128_education,universities=50,500.0,Students using SDS framework
V128_education,universities=100,1000.0,Students using SDS framework
V128_education,universities=500,5000.0,Students using SDS framework
V129_OSS_velocity,months=3,11.0,Open-source contributors
V129_OSS_velocity,months=6,17.0,Open-source contributors
V129_OSS_velocity,months=12,29.0,Open-source contributors
V129_OSS_velocity,months=24,53.0,Open-source contributors
V130_exascale,txs=1000000000,1.1e-05,EXASCALE 10B-tx HC miss rate
V130_exascale,txs=5000000000,1.1069897000433602e-05,EXASCALE 10B-tx HC miss rate
V130_exascale,txs=10000000000,1.11e-05,EXASCALE 10B-tx HC miss rate
