experiment,config,metric,note
V131_failover,target=1s,0.016666666666666666,Multi-region failover downtime
V131_failover,target=5s,0.08333333333333333,Multi-region failover downtime
V131_failover,target=30s,0.5,Multi-region failover downtime
V131_failover,target=300s,5.0,Multi-region failover downtime
V132_timeseries,W=10,20.811388300841898,MAPE % prediction
V132_timeseries,W=100,10.0,MAPE % prediction
V132_timeseries,W=1000,6.58113883008419,MAPE % prediction
V133_SLA_recovery,auto=25%,6.0,MTTR in hours
V133_SLA_recovery,auto=50%,4.0,MTTR in hours
V133_SLA_recovery,auto=75%,2.0,MTTR in hours
V133_SLA_recovery,auto=100%,0.0,MTTR in hours
V134_multi_VM,VMs=4,9.0,Bare-metal consensus latency
V134_multi_VM,VMs=16,13.0,Bare-metal consensus latency
V134_multi_VM,VMs=64,17.0,Bare-metal consensus latency
V135_adoption,adoption=1%,1000.0,SDS nodes deployed
V135_adoption,adoption=5%,5000.0,SDS nodes deployed
V135_adoption,adoption=25%,25000.0,SDS nodes deployed
V135_adoption,adoption=50%,50000.0,SDS nodes deployed
V136_anomaly_detect,sens=0.5,30.0,Anomaly detection lag
V136_anomaly_detect,sens=0.9,5.999999999999998,Anomaly detection lag
V136_anomaly_detect,sens=0.99,0.6000000000000005,Anomaly detection lag
V137_shim_overhead,v0,0.0,Backwards-compat shim overhead
V137_shim_overhead,v1,5.0,Backwards-compat shim overhead
V137_shim_overhead,v2,12.0,Backwards-compat shim overhead
V138_rate_limit,limit=100,49.5,% requests rejected
V138_rate_limit,limit=1000,45.0,% requests rejected
V138_rate_limit,limit=10000,0.0,% requests rejected
V139_audit_trail,days=30,90.6,Audit trail completeness
V139_audit_trail,days=90,91.8,Audit trail completeness
V139_audit_trail,days=365,97.3,Audit trail completeness
V140_civilization,txs=10000000000,1.1e-05,CIVILIZATION-SCALE 100B-tx miss
V140_civilization,txs=50000000000,1.1069897000433602e-05,CIVILIZATION-SCALE 100B-tx miss
V140_civilization,txs=100000000000,1.11e-05,CIVILIZATION-SCALE 100B-tx miss
