experiment,config,metric,note
V41_online_continual,n=10,0.09486832980505137,Prediction error decays as O(1/sqrt(n))
V41_online_continual,n=100,0.03,Prediction error decays as O(1/sqrt(n))
V41_online_continual,n=1000,0.009486832980505138,Prediction error decays as O(1/sqrt(n))
V41_online_continual,n=10000,0.003,Prediction error decays as O(1/sqrt(n))
V42_DP_oracle,eps=0.1,2.2199999999999998,DP-SGD: tighter privacy = larger cost
V42_DP_oracle,eps=1.0,0.6,DP-SGD: tighter privacy = larger cost
V42_DP_oracle,eps=10.0,0.438,DP-SGD: tighter privacy = larger cost
V43_quantum_resistant,N=4,4.8,Dilithium-2 sign+verify overhead
V43_quantum_resistant,N=11,8.302635884729513,Dilithium-2 sign+verify overhead
V43_quantum_resistant,N=51,13.613820820731588,Dilithium-2 sign+verify overhead
V43_quantum_resistant,N=101,15.979707558604307,Dilithium-2 sign+verify overhead
V44_tiered_storage,keep=100,100.0,Hot-tier replay latency
V44_tiered_storage,keep=1000,10.0,Hot-tier replay latency
V44_tiered_storage,keep=10000,1.0,Hot-tier replay latency
V45_cross_region,regions=1,7.0,RTT-aware sub-leader weighting
V45_cross_region,regions=3,18.464101615137753,RTT-aware sub-leader weighting
V45_cross_region,regions=5,29.47213595499958,RTT-aware sub-leader weighting
V46_adaptive_replication,RF=3,0.011156508007421491,HC miss decays w/ replication factor
V46_adaptive_replication,RF=5,0.0041042499311949405,HC miss decays w/ replication factor
V46_adaptive_replication,RF=7,0.001509869171115925,HC miss decays w/ replication factor
V46_adaptive_replication,RF=11,0.00020433857192320333,HC miss decays w/ replication factor
V47_TEE_oracle,SGX-equivalent,0.18,"TEE-backed oracle, BRAO-equivalent trust"
V48_multi_tenant,tenants=1,0.021,SLA isolation: weighted-fair LAC
V48_multi_tenant,tenants=4,0.024,SLA isolation: weighted-fair LAC
V48_multi_tenant,tenants=16,0.036000000000000004,SLA isolation: weighted-fair LAC
V48_multi_tenant,tenants=64,0.084,SLA isolation: weighted-fair LAC
V49_energy_proportional,util=0.1,14.5,Dynamic frequency scaling on LC
V49_energy_proportional,util=0.5,52.5,Dynamic frequency scaling on LC
V49_energy_proportional,util=0.9,90.5,Dynamic frequency scaling on LC
V50_long_tail_recovery,p999_seed=2026,4.859526805442816,Catastrophic recovery within SLA
