experiment,config,metric,note
V101_stake_delegation,delegated=10%,0.9,Coalition resistance vs delegation
V101_stake_delegation,delegated=30%,0.7,Coalition resistance vs delegation
V101_stake_delegation,delegated=50%,0.5,Coalition resistance vs delegation
V101_stake_delegation,delegated=70%,0.30000000000000004,Coalition resistance vs delegation
V102_reputation_decay,halflife=7d,0.9057236642639067,Daily reputation decay
V102_reputation_decay,halflife=30d,0.9771599684342459,Daily reputation decay
V102_reputation_decay,halflife=90d,0.9923279462629435,Daily reputation decay
V102_reputation_decay,halflife=365d,0.9981027686515946,Daily reputation decay
V103_slashing,threshold=1%,0.32,Byzantine equilibrium rate
V103_slashing,threshold=5%,0.28,Byzantine equilibrium rate
V103_slashing,threshold=10%,0.23,Byzantine equilibrium rate
V103_slashing,threshold=25%,0.08000000000000002,Byzantine equilibrium rate
V104_nash_conv,iter=10,0.31622776601683794,Distance to Nash equilibrium
V104_nash_conv,iter=100,0.1,Distance to Nash equilibrium
V104_nash_conv,iter=1000,0.03162277660168379,Distance to Nash equilibrium
V105_long_range,window=1d,100.0,Long-range attack cost ($)
V105_long_range,window=7d,700.0,Long-range attack cost ($)
V105_long_range,window=30d,3000.0,Long-range attack cost ($)
V106_nothing_at_stake,slash=0.01,0.475614712250357,Dual-vote rate
V106_nothing_at_stake,slash=0.1,0.3032653298563167,Dual-vote rate
V106_nothing_at_stake,slash=1.0,0.0033689734995427335,Dual-vote rate
V107_reward_shaping,coop=0.0,100.0,Throughput with cooperation
V107_reward_shaping,coop=0.5,125.0,Throughput with cooperation
V107_reward_shaping,coop=1.0,150.0,Throughput with cooperation
V108_churn,churn=1%/wk,0.02,Validator churn overhead
V108_churn,churn=5%/wk,0.1,Validator churn overhead
V108_churn,churn=10%/wk,0.2,Validator churn overhead
V108_churn,churn=20%/wk,0.4,Validator churn overhead
V109_gini_evolution,years=1,0.4150514997831991,Stake Gini coefficient over time
V109_gini_evolution,years=5,0.4389075625191822,Stake Gini coefficient over time
V109_gini_evolution,years=10,0.4520696342579113,Stake Gini coefficient over time
V110_multi_period,P=1,100.0,Social welfare under multi-period
V110_multi_period,P=3,131.69925001442314,Social welfare under multi-period
V110_multi_period,P=10,166.43856189774726,Social welfare under multi-period
