mpc_mode,seed,aggregation_ms,privacy_level
none,0,2.024404687397426,0
none,1,2.03848059026597,0
none,2,2.0330658969092434,0
none,3,1.9466809756887167,0
none,4,2.0388311763313363,0
secret_sharing,0,10.124980522792388,1
secret_sharing,1,10.021509778957912,1
secret_sharing,2,9.493118997205759,1
secret_sharing,3,9.362672398701369,1
secret_sharing,4,10.629588101856855,1
garbled_circuit,0,60.716598237486494,2
garbled_circuit,1,65.40002458818155,2
garbled_circuit,2,61.008752635838555,2
garbled_circuit,3,60.62769890094477,2
garbled_circuit,4,56.717849503385615,2
smpc,0,214.8847197385936,3
smpc,1,208.79587247214687,3
smpc,2,222.02908108957854,3
smpc,3,205.84658604700078,3
smpc,4,200.81524047430676,3
