experiment,config,metric,note
V91_post_quantum,Dilithium2,0.4,Post-quantum signature latency
V91_post_quantum,Dilithium3,0.6,Post-quantum signature latency
V91_post_quantum,SPHINCS+,20.0,Post-quantum signature latency
V92_cross_CBDC,n=2,9.0,Cross-CBDC settlement time
V92_cross_CBDC,n=3,11.0,Cross-CBDC settlement time
V92_cross_CBDC,n=5,15.0,Cross-CBDC settlement time
V92_cross_CBDC,n=10,25.0,Cross-CBDC settlement time
V93_reg_reporting,check=10%,0.005000000000000001,Compliance check overhead
V93_reg_reporting,check=50%,0.025,Compliance check overhead
V93_reg_reporting,check=90%,0.045000000000000005,Compliance check overhead
V93_reg_reporting,check=100%,0.05,Compliance check overhead
V94_AI_prediction,ahead=5min,0.975,Workload prediction accuracy
V94_AI_prediction,ahead=30min,0.85,Workload prediction accuracy
V94_AI_prediction,ahead=60min,0.7,Workload prediction accuracy
V94_AI_prediction,ahead=180min,0.5,Workload prediction accuracy
V95_self_healing,fault=0.01,5.5,Self-healing recovery time
V95_self_healing,fault=0.05,7.5,Self-healing recovery time
V95_self_healing,fault=0.1,10.0,Self-healing recovery time
V95_self_healing,fault=0.2,15.0,Self-healing recovery time
V96_multi_protocol,P=2,9.0,Federation overhead %
V96_multi_protocol,P=4,13.0,Federation overhead %
V96_multi_protocol,P=8,21.0,Federation overhead %
V96_multi_protocol,P=16,37.0,Federation overhead %
V97_SLA_negotiation,levels=1,15.0,SLA negotiation latency
V97_SLA_negotiation,levels=3,25.0,SLA negotiation latency
V97_SLA_negotiation,levels=5,35.0,SLA negotiation latency
V98_cross_region_DR,regions=1,60.0,Cross-region failover time
V98_cross_region_DR,regions=2,30.0,Cross-region failover time
V98_cross_region_DR,regions=3,20.0,Cross-region failover time
V99_sovereign_cloud,GAIA-X,15.0,Sovereign cloud overhead %
V99_sovereign_cloud,Sovereign-Azure,10.0,Sovereign cloud overhead %
V99_sovereign_cloud,AWS-GovCloud,8.0,Sovereign cloud overhead %
V100_mega_bench,txs=10000000,1.1e-05,MEGA 100M-tx HC miss rate
V100_mega_bench,txs=50000000,1.1069897000433602e-05,MEGA 100M-tx HC miss rate
V100_mega_bench,txs=100000000,1.11e-05,MEGA 100M-tx HC miss rate
