trial,oracle_inference,schedulability_check,feature_aggregation,kzg_commitment,PROMOTE_RTT,AppendEntries_quorum,total_response
0,0.11286511054669665,0.4735790273417396,1.1921267951329846,1.5419600468612158,3.9286612536777783,11.084785164728455,18.33397739828887
1,0.22279209603239303,0.6643236287002316,1.0991311228550162,0.9787371073582556,6.810711733346236,11.339123717092034,21.114819405384168
2,0.14452669089676654,0.39545031170385053,0.876080936982432,0.5234130469440577,8.599414765441804,13.432497616111686,23.971383368080595
3,1.0704595606925913,0.001,1.1254296540177338,1.2728921575488281,4.094701415779109,9.353208510730703,16.917691298768965
4,0.001,0.46505654153484455,1.499117197417359,1.763659099932902,1.7172054108307067,9.984390207484203,15.430428457200016
5,0.001,0.23512820087437097,0.9254915133714254,1.6681780952262086,7.272093064979286,10.329119197965424,20.431010072416715
6,0.5765578772433791,0.8552982607633985,0.23401244846289604,1.4448139754486369,7.027438818106553,14.056425476145973,24.194546856170838
7,0.05061507667874129,0.5597491075016939,0.9177586433913347,1.1437632644970903,4.090658429656555,7.025060335010613,13.787604856736028
8,0.001,0.2326714413637735,0.591667987430504,1.359353147488636,0.3748368406065934,9.433308411746177,11.992837828635684
9,0.001,0.5485699814158004,0.50309637188733,1.7624419510226663,7.286906045384178,8.642166990976303,18.74418134068628
10,0.001,0.354995071951112,0.765458422804583,1.606790342557757,4.502838541122219,10.37944915453555,17.610531532971223
11,0.0670963836265921,0.7719495080619924,1.3674163235757797,1.295877169284933,4.404060977787106,8.417847420899724,16.324247783236128
12,0.04658661006723841,0.7092286584609805,1.222476526386545,1.7895826166599962,8.237552446668152,6.383325572061013,18.388752430303924
13,0.9633782799787116,0.001,1.2874191925926541,1.5278548910643779,7.636500048362137,11.156887749995168,22.57304016199305
14,0.39775988501908427,0.3041051663282537,0.527952900115688,0.3300117712636539,4.293535672834619,13.742819117833374,19.59618451339467
15,0.001,0.3126904567360571,1.1181815070401142,1.2903653488392008,6.051232409035018,12.421970870228039,21.19544059187843
16,0.001,0.6261566974839672,1.3118062369671273,1.9123686978154193,8.635692197457887,8.844431857449285,21.331455687173687
17,0.6006312267529236,0.5676862553292356,0.838008545423949,0.9959032572590268,1.2107574603214895,10.055914872949856,14.26890161803648
18,0.001,0.2739806456219154,1.2021530973783938,1.0568741606900562,9.027831166182288,12.772336110103437,24.334175179976093
19,0.001,0.6988157384064426,1.124757244193896,1.2527345165134374,6.344281603139327,5.649851482344253,15.071440584597358
20,0.001,0.7407350202975421,1.4190604358854282,1.6268943710338215,5.828268384071554,8.53135058948433,18.147308800772677
21,0.2293867040019571,0.8021354616286915,0.4641006288066454,2.1746454034663008,4.905365575687725,7.60006424687454,16.17569802046586
