encryption_mode,seed,inference_ms,viable
plaintext,0,1.1222002391249493,1
plaintext,1,0.9541293639101427,1
plaintext,2,1.1433469940398064,1
plaintext,3,0.9745015146903859,1
plaintext,4,1.0041686095003202,1
lattice_he,0,51.981648302347054,1
lattice_he,1,50.8218494877629,1
lattice_he,2,58.114614602936456,1
lattice_he,3,52.2405271283665,1
lattice_he,4,46.943413074347156,1
fhe_bgv,0,1060.8819701183982,0
fhe_bgv,1,900.6861907967867,0
fhe_bgv,2,1082.7861874768794,0
fhe_bgv,3,977.9715347025874,0
fhe_bgv,4,982.343944292753,0
fhe_ckks,0,461.34075364531765,0
fhe_ckks,1,511.5988158624872,0
fhe_ckks,2,562.4384579829623,0
fhe_ckks,3,556.3614752929544,0
fhe_ckks,4,520.0219664951713,0
