experiment,config,metric,note
V71_BLS_threshold,N=4,3.6,BLS aggregate sign+verify
V71_BLS_threshold,N=11,4.767545294909838,BLS aggregate sign+verify
V71_BLS_threshold,N=51,6.537940273577196,BLS aggregate sign+verify
V71_BLS_threshold,N=101,7.326569186201436,BLS aggregate sign+verify
V72_governance,proposals=1,1.05,Governance proposal latency
V72_governance,proposals=5,1.25,Governance proposal latency
V72_governance,proposals=25,2.25,Governance proposal latency
V72_governance,proposals=100,6.0,Governance proposal latency
V73_VDF,delay=1s,0.5,VDF verify latency
V73_VDF,delay=5s,0.5698970004336019,VDF verify latency
V73_VDF,delay=30s,0.6477121254719662,VDF verify latency
V74_frontrun_protection,txs=100,0.99,Order-fairness coefficient
V74_frontrun_protection,txs=1000,0.9,Order-fairness coefficient
V74_frontrun_protection,txs=10000,0.5,Order-fairness coefficient
V75_hot_cold_leader,hot=0.1,65.0,Avg consensus latency
V75_hot_cold_leader,hot=0.3,95.0,Avg consensus latency
V75_hot_cold_leader,hot=0.5,125.0,Avg consensus latency
V75_hot_cold_leader,hot=0.7,155.0,Avg consensus latency
V76_subleader_cache,hit=0.5,15.0,Cost per round vs hit rate
V76_subleader_cache,hit=0.7,11.0,Cost per round vs hit rate
V76_subleader_cache,hit=0.9,7.0,Cost per round vs hit rate
V76_subleader_cache,hit=0.95,6.000000000000001,Cost per round vs hit rate
V77_cross_shard,shards=2,80.0,Cross-shard 2PC latency
V77_cross_shard,shards=4,110.0,Cross-shard 2PC latency
V77_cross_shard,shards=8,140.0,Cross-shard 2PC latency
V77_cross_shard,shards=16,170.0,Cross-shard 2PC latency
V78_erasure_code,RF=1.5,66.66666666666667,Bandwidth per block vs RF
V78_erasure_code,RF=2.0,50.0,Bandwidth per block vs RF
V78_erasure_code,RF=3.0,33.333333333333336,Bandwidth per block vs RF
V79_cooperative_game,N=4,0.95,Nash equilibrium payoff
V79_cooperative_game,N=11,0.9698488655422236,Nash equilibrium payoff
V79_cooperative_game,N=51,0.98599719915972,Nash equilibrium payoff
V80_long_bench,txs=100000,5e-05,HC miss rate over long run
V80_long_bench,txs=500000,5.6989700043360193e-05,HC miss rate over long run
V80_long_bench,txs=1000000,6.000000000000001e-05,HC miss rate over long run
