experiment,config,metric,note
V61_econ_incentives,slash=0.01,0.28,Byzantine equilibrium under slashing
V61_econ_incentives,slash=0.05,0.08000000000000002,Byzantine equilibrium under slashing
V61_econ_incentives,slash=0.1,0.0,Byzantine equilibrium under slashing
V61_econ_incentives,slash=0.2,0.0,Byzantine equilibrium under slashing
V62_audit_log,days=1,0.1,Audit log storage
V62_audit_log,days=7,0.7000000000000001,Audit log storage
V62_audit_log,days=30,3.0,Audit log storage
V62_audit_log,days=365,36.5,Audit log storage
V63_sla_tiers,Gold,999.8999999999999,"SLA=99.99%, price=$1000/tx"
V63_sla_tiers,Silver,99.9,"SLA=99.9%, price=$100/tx"
V63_sla_tiers,Bronze,9.9,"SLA=99.0%, price=$10/tx"
V64_disaster_recovery,snap_h=1,5.5,Cold-start recovery time
V64_disaster_recovery,snap_h=24,17.0,Cold-start recovery time
V64_disaster_recovery,snap_h=168,89.0,Cold-start recovery time
V65_gas_aware,target=50%,0.002,$ per tx vs gas utilization
V65_gas_aware,target=75%,0.0025,$ per tx vs gas utilization
V65_gas_aware,target=95%,0.0029,$ per tx vs gas utilization
V66_bridging,protocols=2,200.0,Cross-protocol bridge latency
V66_bridging,protocols=4,600.0,Cross-protocol bridge latency
V66_bridging,protocols=8,1400.0,Cross-protocol bridge latency
V67_zk_rollup,batch=100,101.0,zkRollup amortized on-chain cost
V67_zk_rollup,batch=1000,110.0,zkRollup amortized on-chain cost
V67_zk_rollup,batch=10000,200.0,zkRollup amortized on-chain cost
V68_key_rotation,period=30d,14.0,Annual downtime per rotation
V68_key_rotation,period=90d,6.0,Annual downtime per rotation
V68_key_rotation,period=365d,2.9863013698630136,Annual downtime per rotation
V69_reputation_agg,adv=10%,0.99,Oracle error reduction vs adversary mix
V69_reputation_agg,adv=30%,0.91,Oracle error reduction vs adversary mix
V69_reputation_agg,adv=49%,0.7599,Oracle error reduction vs adversary mix
V70_carbon,SLA=0.95,55.4016620498615,kWh/day vs SLA tightness
V70_carbon,SLA=0.99,51.015202530354046,kWh/day vs SLA tightness
V70_carbon,SLA=0.999,50.100150200250305,kWh/day vs SLA tightness
