tls,seed,mean_latency_ms,overhead_pct
none,0,10.300281064244277,0.0
none,1,9.819776642243252,0.0
none,2,10.001206317723156,0.0
none,3,10.29619898926809,0.0
none,4,9.903623758789557,0.0
tls12,0,15.72939657987311,50.0
tls12,1,14.49243516500198,50.0
tls12,2,14.941890156789402,50.0
tls12,3,15.218582341847595,50.0
tls12,4,15.441923001788732,50.0
tls13,0,12.056069234824967,20.0
tls13,1,12.300104363771654,20.0
tls13,2,12.29589965471243,20.0
tls13,3,12.209105101197618,20.0
tls13,4,12.301657405997517,20.0
tls13_mTLS,0,14.262491331000193,40.0
tls13_mTLS,1,14.03230500911222,40.0
tls13_mTLS,2,14.064291868567853,40.0
tls13_mTLS,3,13.55234272000198,40.0
tls13_mTLS,4,13.872867079374123,40.0
