failure_type,duration_rounds,trial,recovery_time_s
short,30,0,0.36581870358561847
short,30,1,1.689810936213348
short,30,2,1.2102395229123661
short,30,3,3.367002941885618
short,30,4,0.31639542241500546
short,30,5,0.5718078716394998
short,30,6,3.4746883901116714
short,30,7,0.003529199608576914
short,30,8,0.25483063019382596
short,30,9,0.628478610570533
short,30,10,0.19566293495381243
short,30,11,0.4012825510974341
short,30,12,0.7235659874301411
short,30,13,0.14949260924198043
short,30,14,0.7816916028396341
short,30,15,0.5589167820980948
short,30,16,0.047980006364959964
short,30,17,0.032651001396374515
short,30,18,0.30259641162044293
short,30,19,2.1083646309787145
short,30,20,0.20273080439358687
short,30,21,0.332333135639043
short,30,22,1.6164952892536777
short,30,23,0.009568625749099476
short,30,24,1.686128125874857
short,30,25,0.3357344600742398
short,30,26,0.4852371025430962
short,30,27,0.9713349606764714
short,30,28,0.5947255284398474
short,30,29,0.6634129535100196
short,30,30,0.024306126912449783
short,30,31,0.00808631848563072
short,30,32,0.22803677824608848
short,30,33,0.2651684961339906
short,30,34,1.0391143682608452
short,30,35,0.1004218768607582
short,30,36,0.4585226823096403
short,30,37,0.11206912586095662
short,30,38,0.2718234047528474
short,30,39,0.2996202584121832
short,30,40,1.831793943459664
short,30,41,2.262474991709454
short,30,42,0.8674919572002198
short,30,43,0.106446117306975
short,30,44,0.7141076613593463
short,30,45,0.04801933128169123
short,30,46,0.5066715539158964
short,30,47,0.8194199940377126
short,30,48,0.18056283793045935
short,30,49,1.1023736728331688
medium,100,0,0.03085757878213345
medium,100,1,0.5352484197248758
medium,100,2,0.33842243063478233
medium,100,3,0.09992479834764727
medium,100,4,0.578440931815784
medium,100,5,0.021231977094324058
medium,100,6,0.364199621965861
medium,100,7,0.5409762580591202
medium,100,8,0.025485950751844847
medium,100,9,0.3507154833199732
medium,100,10,0.13193151013218501
medium,100,11,0.16418272452623003
medium,100,12,0.20328606229963042
medium,100,13,0.4061472831390238
medium,100,14,0.6452529651619752
medium,100,15,0.3735064473592828
medium,100,16,0.32406448691693096
medium,100,17,0.1182837675232859
medium,100,18,1.1775722830572015
medium,100,19,0.08027049584839534
medium,100,20,0.3740376324545753
medium,100,21,1.8567585914579814
medium,100,22,0.11479024848517724
medium,100,23,2.4774564049580117
medium,100,24,0.34679052823122253
medium,100,25,0.16734526307420763
medium,100,26,1.4716315582734436
medium,100,27,0.5513811292903974
medium,100,28,0.28691557387199274
medium,100,29,0.21717461566962737
medium,100,30,0.19485195014453305
medium,100,31,0.15077579597629343
medium,100,32,1.7639818181121332
medium,100,33,0.6950899589520138
medium,100,34,0.7622043920930596
medium,100,35,0.2625262707468383
medium,100,36,1.334870804726316
medium,100,37,0.11793888390413472
medium,100,38,0.1620875254326495
medium,100,39,0.12095903306781958
medium,100,40,0.9152160146654045
medium,100,41,0.4574346677664968
medium,100,42,0.014038402352537135
medium,100,43,0.5131085404137509
medium,100,44,0.270887413099195
medium,100,45,0.977304675575537
medium,100,46,0.15485321485482093
medium,100,47,0.0765379986319534
medium,100,48,0.04877759564623368
medium,100,49,0.07148694765472334
long,300,0,0.782393222733781
long,300,1,0.054989711803447944
long,300,2,0.4626811321027924
long,300,3,1.7454928758953703
long,300,4,0.07637277768489617
long,300,5,0.0035424521231500108
long,300,6,0.5909355338711387
long,300,7,0.0013420522996756754
long,300,8,0.13621648780662632
long,300,9,0.7626580391547815
long,300,10,3.0725595490915714
long,300,11,0.08039397297805566
long,300,12,0.495728763559311
long,300,13,0.11687670561002086
long,300,14,0.5639538145273518
long,300,15,0.8700761770803066
long,300,16,0.6903860663761566
long,300,17,1.318183733979609
long,300,18,0.24893096159677774
long,300,19,0.1592937721107256
long,300,20,0.046031454294141655
long,300,21,0.8037634020329292
long,300,22,0.07485431103417128
long,300,23,0.0513316094662022
long,300,24,0.3022137957289915
long,300,25,0.34664333493865707
long,300,26,0.7761768975652177
long,300,27,0.12345760875130096
long,300,28,0.4300116194914589
long,300,29,0.0775206237161374
long,300,30,0.3228070203038172
long,300,31,0.5846402626773196
long,300,32,0.006461801140402657
long,300,33,2.170392915932754
long,300,34,0.606881470070847
long,300,35,1.7471436410801173
long,300,36,3.3106503975002344
long,300,37,0.07609468711247927
long,300,38,0.9936198075607803
long,300,39,0.49631850666306604
long,300,40,0.5081927223584758
long,300,41,0.2455254953359225
long,300,42,1.182443824274672
long,300,43,0.10215576499622428
long,300,44,0.1974041664430642
long,300,45,0.8609312678877453
long,300,46,1.254765829464928
long,300,47,0.13751497291922068
long,300,48,1.0881547992763234
long,300,49,0.37018161948533423
very_long,1000,0,2.9294769707127317
very_long,1000,1,0.6700722029078752
very_long,1000,2,4.004859625389185
very_long,1000,3,0.7731017410530139
very_long,1000,4,0.7148821690003053
very_long,1000,5,0.5892997885052982
very_long,1000,6,1.8879143322998484
very_long,1000,7,2.992875126235983
very_long,1000,8,1.1657711814947949
very_long,1000,9,0.7247287176475983
very_long,1000,10,0.963335388462176
very_long,1000,11,0.1406097464122703
very_long,1000,12,1.8789546081232076
very_long,1000,13,0.30611227002853436
very_long,1000,14,2.8102912020568387
very_long,1000,15,0.24330372888922036
very_long,1000,16,4.87711765120363
very_long,1000,17,0.692217682799803
very_long,1000,18,3.245605564300809
very_long,1000,19,4.055492970771406
very_long,1000,20,0.575769211039747
very_long,1000,21,1.0209379724790337
very_long,1000,22,4.230834262987731
very_long,1000,23,0.6389863544245655
very_long,1000,24,2.278207242771253
very_long,1000,25,0.19362144808928555
very_long,1000,26,0.5052039556923844
very_long,1000,27,0.8584206527931297
very_long,1000,28,1.6678826475192539
very_long,1000,29,0.5912582728126681
very_long,1000,30,1.4366625200214673
very_long,1000,31,0.4999788327188002
very_long,1000,32,0.006112740463714326
very_long,1000,33,1.4669872926258392
very_long,1000,34,0.10310570963146488
very_long,1000,35,0.8675271226927357
very_long,1000,36,3.2727991423038194
very_long,1000,37,0.14319895815918032
very_long,1000,38,0.006642097730906269
very_long,1000,39,1.108004126008385
very_long,1000,40,0.002516348061891891
very_long,1000,41,0.25540591463742435
very_long,1000,42,1.4299838234152151
very_long,1000,43,5.761049154546696
very_long,1000,44,0.15073869933385434
very_long,1000,45,0.9294914316737081
very_long,1000,46,0.2191438230187891
very_long,1000,47,1.0574134022387844
very_long,1000,48,1.6313928320255748
very_long,1000,49,1.2944738744552935
