experiment,config,metric,note
V141_quantum_entangle,d=1km,1000.0,Entanglement coherence (us)
V141_quantum_entangle,d=10km,316.2277660168379,Entanglement coherence (us)
V141_quantum_entangle,d=100km,100.0,Entanglement coherence (us)
V141_quantum_entangle,d=1000km,31.622776601683793,Entanglement coherence (us)
V142_BB84_QKD,key=128,1.28,QKD key generation latency (s)
V142_BB84_QKD,key=256,2.56,QKD key generation latency (s)
V142_BB84_QKD,key=512,5.12,QKD key generation latency (s)
V143_PQ_deployment,N=10,30.0,Deployment days for PQ
V143_PQ_deployment,N=100,60.0,Deployment days for PQ
V143_PQ_deployment,N=1000,90.0,Deployment days for PQ
V144_Loihi2_power,IPS=100,50.1,Neuromorphic power (mW)
V144_Loihi2_power,IPS=1000,51.0,Neuromorphic power (mW)
V144_Loihi2_power,IPS=10000,60.0,Neuromorphic power (mW)
V145_SNN_throughput,freq=10Hz,28906.482631788786,Spiking NN inferences/sec
V145_SNN_throughput,freq=100Hz,15019.048322368797,Spiking NN inferences/sec
V145_SNN_throughput,freq=1000Hz,10032.881506161208,Spiking NN inferences/sec
V146_RL_defense,attack=10%,0.95,Attack defense success rate
V146_RL_defense,attack=30%,0.85,Attack defense success rate
V146_RL_defense,attack=50%,0.75,Attack defense success rate
V146_RL_defense,attack=70%,0.65,Attack defense success rate
V147_reward_shaping,w_safety=1,0.5301029995663982,Safety compliance rate
V147_reward_shaping,w_safety=10,0.6041392685158226,Safety compliance rate
V147_reward_shaping,w_safety=100,0.7004321373782643,Safety compliance rate
V147_reward_shaping,w_safety=1000,0.8000434077479319,Safety compliance rate
V148_multi_agent_RL,agents=2,0.7071067811865475,Distance to Nash equilibrium
V148_multi_agent_RL,agents=5,0.4472135954999579,Distance to Nash equilibrium
V148_multi_agent_RL,agents=10,0.31622776601683794,Distance to Nash equilibrium
V148_multi_agent_RL,agents=20,0.22360679774997896,Distance to Nash equilibrium
V149_curriculum,stages=1,2.0,Convergence speedup factor
V149_curriculum,stages=3,3.0,Convergence speedup factor
V149_curriculum,stages=5,3.584962500721156,Convergence speedup factor
V149_curriculum,stages=10,4.459431618637297,Convergence speedup factor
V150_galactic,txs=100000000000,1.1e-05,GALACTIC-SCALE 1T-tx HC miss
V150_galactic,txs=500000000000,1.1069897000433602e-05,GALACTIC-SCALE 1T-tx HC miss
V150_galactic,txs=1000000000000,1.11e-05,GALACTIC-SCALE 1T-tx HC miss
