arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,21,10,3,3;10;17,1,1,1786337318.962480120,1786337333.153423701,W1,3,3,17;10;3,0,9,3,3,10;17;3,0,9,9,0,18,0,1
A_vanilla,21,10,3,3;10;17,1,2,1786337333.164953487,1786337347.371196521,W1,3,3,10;17;3,0,9,3,3,10;17;3,0,9,18,0,15,0,1
A_vanilla,21,10,3,3;10;17,1,3,1786337347.379377284,1786337361.589610978,W1,3,3,10;17;3,0,9,3,3,10;17;3,0,9,15,0,12,0,1
A_vanilla,21,10,3,3;10;17,1,4,1786337361.602007343,1786337375.924852458,W1,3,3,10;17;3,0,9,3,3,10;17;3,0,9,12,0,13,0,1
A_vanilla,21,10,3,3;10;17,1,5,1786337375.937245630,1786337390.453126723,W1,3,3,17;10;3,0,9,3,3,17;3;10,0,9,13,0,11,0,1
A_vanilla,21,10,3,3;10;17,1,6,1786337390.463754769,1786337404.783374711,W1,3,3,17;10;3,0,9,3,3,10;17;3,0,9,11,0,1,0,1
A_vanilla,21,10,3,3;10;17,1,7,1786337404.790723670,1786337418.998326579,W1,3,3,10;3;17,0,9,3,3,10;3;17,0,9,1,0,20,0,1
A_vanilla,21,10,3,3;10;17,1,8,1786337419.018952181,1786337433.268649629,W1,3,3,10;3;17,0,9,3,3,10;3;17,0,9,20,0,13,0,1
A_vanilla,21,10,3,3;10;17,1,9,1786337433.274255555,1786337447.521905583,W1,3,3,3;10;17,0,9,3,3,10;3;17,0,9,13,0,8,0,1
A_vanilla,21,10,3,3;10;17,1,10,1786337447.538191604,1786337461.796141238,W1,3,3,3;17;10,0,9,3,3,3;10;17,0,9,8,0,19,0,1
B_oracle,21,10,3,3;10;17,1,1,1786337481.537810045,1786337495.840893037,W1,3,3,10;17;3,0,9,3,3,17;3;10,0,9,19,0,13,0,1
B_oracle,21,10,3,3;10;17,1,2,1786337495.847139567,1786337510.040140704,W1,3,3,3;10;17,0,9,3,3,17;10;3,0,9,13,0,16,0,1
B_oracle,21,10,3,3;10;17,1,3,1786337510.057209617,1786337524.240626475,W1,3,3,10;3;17,0,9,3,3,10;17;3,0,9,16,0,18,0,1
B_oracle,21,10,3,3;10;17,1,4,1786337524.249299016,1786337538.373453226,W1,3,3,10;3;17,0,9,3,3,3;10;17,0,9,18,0,12,0,1
B_oracle,21,10,3,3;10;17,1,5,1786337538.380761783,1786337552.542658495,W1,3,3,10;17;3,0,9,3,3,10;3;17,0,9,12,0,4,0,1
B_oracle,21,10,3,3;10;17,1,6,1786337552.550413107,1786337566.734130303,W1,3,3,10;3;17,0,9,3,3,10;3;17,0,9,4,0,13,0,1
