2026.08.25-08:15:43.903 info  [caliper] [cli-launch-manager] 	Binding specification is present, performing binding for "fabric:fabric-gateway"
2026.08.25-08:15:43.905 warn  [caliper] [bind] 	Working directory is not specified. Current path: "/hyperledger/caliper/workspace"
2026.08.25-08:15:43.905 info  [caliper] [bind] 	User-provided arguments for npm: "-g"
2026.08.25-08:15:43.905 info  [caliper] [bind] 	Binding for fabric@fabric-gateway. This might take some time...
2026.08.25-08:15:43.905 info  [caliper] [bind] 	Using working directory: /hyperledger/caliper/workspace
2026.08.25-08:15:43.906 info  [caliper] [bind] 	Calling npm with: install -g @hyperledger/fabric-gateway@1.5.0 @grpc/grpc-js@1.10.3

added 82 packages in 5s

4 packages are looking for funding
  run `npm fund` for details
npm notice 
npm notice New major version of npm available! 10.2.4 -> 12.0.2
npm notice Changelog: <https://github.com/npm/cli/releases/tag/v12.0.2>
npm notice Run `npm install -g npm@12.0.2` to update!
npm notice 
2026.08.25-08:15:49.578 info  [caliper] [cli-launch-manager] 	Set workspace path: /hyperledger/caliper/workspace
2026.08.25-08:15:49.579 info  [caliper] [cli-launch-manager] 	Set benchmark configuration path: /hyperledger/caliper/workspace/benchmarks/belowceiling-sweep.yaml
2026.08.25-08:15:49.579 info  [caliper] [cli-launch-manager] 	Set network configuration path: /hyperledger/caliper/workspace/networks/fabric-5node.yaml
2026.08.25-08:15:49.579 info  [caliper] [cli-launch-manager] 	Set SUT type: fabric
2026.08.25-08:15:49.583 info  [caliper] [benchmark-validator] 	No observer specified, will default to `none`
2026.08.25-08:15:49.584 info  [caliper] [caliper-engine] 	Starting benchmark flow
2026.08.25-08:15:49.584 info  [caliper] [caliper-engine] 	Skipping start commands due to benchmark flow conditioning
2026.08.25-08:15:49.584 info  [caliper] [caliper-engine] 	Skipping initialization phase due to benchmark flow conditioning
2026.08.25-08:15:49.584 info  [caliper] [caliper-engine] 	Skipping install smart contract phase due to benchmark flow conditioning
2026.08.25-08:15:49.887 info  [caliper] [FabricConnectorFactory] 	Initializing peer gateway connector compatible with installed fabric-gateway SDK: 1.5.0
2026.08.25-08:15:49.937 info  [caliper] [IdentityManager] 	Adding User1 (admin=false) as User1 for organization Org1MSP
2026.08.25-08:15:49.947 info  [caliper] [IdentityManager] 	Adding User1 (admin=false) as _Org2MSP_User1 for organization Org2MSP
2026.08.25-08:15:49.950 info  [caliper] [monitor.js] 	No resource monitors specified
2026.08.25-08:15:49.950 info  [caliper] [default-observer] 	Observer interval set to 5000 milliseconds
2026.08.25-08:15:49.952 info  [caliper] [round-orchestrator] 	Preparing worker connections
2026.08.25-08:15:49.953 info  [caliper] [worker-orchestrator] 	Launching worker 1 of 4
2026.08.25-08:15:49.955 info  [caliper] [worker-orchestrator] 	Launching worker 2 of 4
2026.08.25-08:15:49.956 info  [caliper] [worker-orchestrator] 	Launching worker 3 of 4
2026.08.25-08:15:49.957 info  [caliper] [worker-orchestrator] 	Launching worker 4 of 4
2026.08.25-08:15:49.958 info  [caliper] [worker-orchestrator] 	Messenger not configured, entering configure phase...
2026.08.25-08:15:49.958 info  [caliper] [worker-orchestrator] 	No existing workers detected, entering worker launch phase...
2026.08.25-08:15:49.958 info  [caliper] [worker-orchestrator] 	Waiting for 4 workers to be connected...
2026.08.25-08:15:50.189 info  [caliper] [cli-launch-worker] 	Worker is a locally forked process, skipping the binding step, already performed by the manager process
2026.08.25-08:15:50.189 info  [caliper] [cli-launch-worker] 	Worker is a locally forked process, skipping the binding step, already performed by the manager process
2026.08.25-08:15:50.189 info  [caliper] [cli-launch-worker] 	Worker is a locally forked process, skipping the binding step, already performed by the manager process
2026.08.25-08:15:50.190 info  [caliper] [cli-launch-worker] 	Set workspace path: /hyperledger/caliper/workspace
